Plate	Well	GeneID	Entrez_gene_ID	sub_lib
9	E06	C9ORF96	169436	KIN
9	E07	MAP2K1	5604	KIN
9	E08	GALK2	2585	KIN
9	E09	NTRK1	4914	KIN
9	E10	NME4	4833	KIN
9	E11	BRAF	673	KIN
9	E12	siCON2		
9	F01	MOCK		
9	F02	PASK	23178	KIN
9	F03	HUS1	3364	KIN
9	F04	TLK1	9874	KIN
9	F05	PFKM	5213	KIN
9	F06	PRKAA2	5563	KIN
9	F07	ITPKB	3707	KIN
9	F08	MPP3	4356	KIN
9	F09	CDK3	1018	KIN
9	F10	PDPK1	5170	KIN
9	F11	C10ORF89	118672	KIN
9	F12	allSTAR		
9	G01	siCON1		
9	G02	EPHA4	2043	KIN
9	G03	DCAMKL1	9201	KIN
9	G04	GK2	2712	KIN
9	G05	KUB3	91419	KIN
9	G06	TRPM7	54822	KIN
9	G07	MYLK	4638	KIN
9	G08	GUCY2F	2986	KIN
9	G09	GSK3B	2932	KIN
9	G10	MST1R	4486	KIN
9	G11	AK2	204	KIN
9	G12	PLK1	5347	KIN
9	H01	siCON2		
9	H02	NEK7	140609	KIN
9	H03	PRKWNK1	65125	KIN
9	H04	TSKS	60385	KIN
9	H05	STK19	8859	KIN
9	H06	MAPK12	6300	KIN
9	H07	GALK1	2584	KIN
9	H08	IPMK	253430	KIN
9	H09	PANK4	55229	KIN
9	H10	PRKACG	5568	KIN
9	H11	FLT1	2321	KIN
9	H12	MOCK		
