Plate	Well	GeneID	Entrez_gene_ID	sub_lib
2	H09	PCTK3	5129	KIN
2	H10	SGK2	10110	KIN
2	H11	DYRK4	8798	KIN
2	H12	MOCK		
3	A01	MOCK		
3	A02	MAP3K2	10746	KIN
3	A03	LATS2	26524	KIN
3	A04	P101-PI3K	23533	KIN
3	A05	DGKG	1608	KIN
3	A06	MAST3	23031	KIN
3	A07	EFNA3	1944	KIN
3	A08	BCKDK	10295	KIN
3	A09	ITPKA	3706	KIN
3	A10	NEK6	10783	KIN
3	A11	BLK	640	KIN
3	A12	allSTAR		
3	B01	siCON1		
3	B02	DGKK	139189	KIN
3	B03	MPP2	4355	KIN
3	B04	BUB1	699	KIN
3	B05	UHMK1	127933	KIN
3	B06	PRKCM	5587	KIN
3	B07	PIK4CB	5298	KIN
3	B08	DLG4	1742	KIN
3	B09	BTK	695	KIN
3	B10	MAP3K15	389840	KIN
3	B11	GSK3A	2931	KIN
3	B12	PLK1	5347	KIN
3	C01	siCON2		
3	C02	CSNK1E	1454	KIN
3	C03	RELA	5970	KIN
3	C04	CCRK	23552	KIN
3	C05	MAPK9	5601	KIN
3	C06	TNK2	10188	KIN
3	C07	PDIK1L	149420	KIN
3	C08	AXL	558	KIN
3	C09	ANKRD3	54101	KIN
3	C10	RIPK1	8737	KIN
3	C11	CDC42BPB	9578	KIN
3	C12	MOCK		
3	D01	allSTAR		
3	D02	JAK3	3718	KIN
3	D03	STK22D	83942	KIN
3	D04	FGFR1	2260	KIN
3	D05	PNKP	11284	KIN
3	D06	ERBB2	2064	KIN
3	D07	PRKAG1	5571	KIN
3	D08	FLJ10761	55224	KIN
3	D09	IGF1R	3480	KIN
3	D10	NEK9	91754	KIN
3	D11	FLJ23356	84197	KIN
3	D12	siCON1		
3	E01	PLK1	5347	KIN
3	E02	FLT3	2322	KIN
3	E03	PIP5K2A	5305	KIN
3	E04	DAPK1	1612	KIN
3	E05	FASTK	10922	KIN
3	E06	PRKG2	5593	KIN
3	E07	MPP1	4354	KIN
3	E08	HSPB8	26353	KIN
3	E09	CSF1R	1436	KIN
3	E10	DYRK2	8445	KIN
3	E11	PRKCL2	5586	KIN
3	E12	siCON2		
3	F01	MOCK		
3	F02	RPS6KA3	6197	KIN
3	F03	EFNA4	1945	KIN
3	F04	ADCK1	57143	KIN
3	F05	MAP3K8	1326	KIN
3	F06	CDK8	1024	KIN
3	F07	MKNK1	8569	KIN
3	F08	PIK3C2G	5288	KIN
3	F09	CDK4	1019	KIN
3	F10	PIM1	5292	KIN
3	F11	DGKQ	1609	KIN
3	F12	allSTAR		
3	G01	siCON1		
3	G02	MAP3K12	7786	KIN
3	G03	STK22C	81629	KIN
3	G04	PI4KII	55361	KIN
3	G05	TAF1L	138474	KIN
