Plate	Well	GeneID	EntrezGene_ID	sublib
1	J06	MAT2A	4144	MET
1	J07	GCK	2645	MET
1	J08	MDH1	4190	MET
1	J09	GCSH	2653	MET
1	J10	MDH2	4191	MET
1	J11	GFPT1	2673	MET
1	J12	ME1	4199	MET
1	J13	GK	2710	MET
1	J14	ME2	4200	MET
1	J15	GK2	2712	MET
1	J16	MET	4233	MET
1	J17	GCLC	2729	MET
1	J18	ALDH6A1	4329	MET
1	J19	GLDC	2731	MET
1	J20	MPI	4351	MET
1	J21	GLP1R	2740	MET
1	J22	MSH2	4436	MET
1	J23			
1	J24			
1	K01			
1	K02			
1	K03	AMPD1	270	MET
1	K04	CRAT	1384	MET
1	K05	AMPD2	271	MET
1	K06	CREB1	1385	MET
1	K07	AMPD3	272	MET
1	K08	ATF2	1386	MET
1	K09	AMT	275	MET
1	K10	CRK	1398	MET
1	K11	ANG	283	MET
1	K12	CS	1431	MET
1	K13	SLC25A4	291	MET
1	K14	MAPK14	1432	MET
1	K15	SLC25A5	292	MET
1	K16	SLC25A10	1468	MET
1	K17	SLC25A6	293	MET
1	K18	CTBS	1486	MET
1	K19	APOC2	344	MET
1	K20	CTH	1491	MET
1	K21	APOC3	345	MET
1	K22	CTPS	1503	MET
1	K23			
1	K24			
1	L01			
1	L02			
1	L03	GLS	2744	MET
1	L04	MUT	4594	MET
1	L05	GLUD1	2746	MET
1	L06	NDUFAB1	4706	MET
1	L07	GLUD2	2747	MET
1	L08	NDUFS6	4726	MET
1	L09	GLUL	2752	MET
1	L10	NME1	4830	MET
1	L11	GNAI1	2770	MET
1	L12	NME2	4831	MET
1	L13	GNAI2	2771	MET
1	L14	NME3	4832	MET
1	L15	GNAI3	2773	MET
1	L16	NME4	4833	MET
1	L17	GNG11	2791	MET
1	L18	NOS1	4842	MET
1	L19	GOT1	2805	MET
1	L20	NOS2A	4843	MET
1	L21	GOT2	2806	MET
1	L22	NOS3	4846	MET
1	L23			
1	L24			
1	M01			
1	M02			
1	M03	APOE	348	MET
1	M04	CYP2E1	1571	MET
1	M05	APOH	350	MET
1	M06	CYP11A1	1583	MET
1	M07	APRT	353	MET
1	M08	CYP11B1	1584	MET
1	M09	ARAF1	369	MET
1	M10	CYP24A1	1591	MET
1	M11	ARG1	383	MET
1	M12	CYP27A1	1593	MET
1	M13	ARG2	384	MET
1	M14	CYP27B1	1594	MET
1	M15	ARL2	402	MET
1	M16	DBT	1629	MET
1	M17	DO	420	MET
1	M18	DCI	1632	MET
1	M19	ASL	435	MET
1	M20	DECR1	1666	MET
1	M21	ASNS	440	MET
1	M22	DHFR	1719	MET
1	M23			
1	M24			
1	N01			
1	N02			
1	N03	GPD1	2819	MET
1	N04	NP	4860	MET
1	N05	GPD2	2820	MET
1	N06	NRAS	4893	MET
1	N07	GPI	2821	MET
1	N08	OAT	4942	MET
1	N09	MKNK2	2872	MET
1	N10	ODC1	4953	MET
1	N11	GPT	2875	MET
1	N12	OGDH	4967	MET
1	N13	GRB2	2885	MET
1	N14	OTC	5009	MET
1	N15	RAPGEF1	2889	MET
1	N16	OVGP1	5016	MET
1	N17	GRM2	2912	MET
1	N18	OXCT1	5019	MET
1	N19	GRM3	2913	MET
1	N20	PAFAH1B1	5048	MET
1	N21	GRM4	2914	MET
1	N22	PAH	5053	MET
1	N23			
1	N24			
1	O01			
1	O02			
1	O03	ASPA	443	MET
1	O04	DHODH	1723	MET
1	O05	ASS	445	MET
1	O06	DLAT	1737	MET
1	O07	ATIC	471	MET
1	O08	DLD	1738	MET
1	O09	ATP5A1	498	MET
1	O10	DLST	1743	MET
1	O11	ALDH7A1	501	MET
1	O12	SARDH	1757	MET
1	O13	ATP5B	506	MET
1	O14	DYNC1H1	1778	MET
1	O15	ATP5C1	509	MET
1	O16	ECHS1	1892	MET
1	O17	ATP5D	513	MET
