Filename	Plate	Replicate
P1R1C1.txt	1	1
P1R2C1.txt	1	2
P1R3.txt	1	3
P2R1.txt	2	1
P2R2.txt	2	2
P2R3.txt	2	3
P3R1.txt	3	1
P3R2.txt	3	2
P3R3.txt	3	3
P4R1.txt	4	1
P4R2.txt	4	2
P4R3.txt	4	3
P5R1.txt	5	1
P5R2.txt	5	2
P5R3.txt	5	3
P6R1.txt	6	1
P6R2.txt	6	2
P6R3.txt	6	3
P7R1.txt	7	1
P7R2.txt	7	2
P7R3.txt	7	3
