Filename	Plate	Replicate	Channel
P1R1C1.txt	1	1	1
P1R2C1.txt	1	2	1
P1R3C1.txt	1	3	1
P2R1C1.txt	2	1	1
P2R2C1.txt	2	2	1
P2R3C1.txt	2	3	1
P3R1C1.txt	3	1	1
P3R2C1.txt	3	2	1
P3R3C1.txt	3	3	1
P4R1C1.txt	4	1	1
P4R2C1.txt	4	2	1
P4R3C1.txt	4	3	1
P5R1C1.txt	5	1	1
P5R2C1.txt	5	2	1
P5R3C1.txt	5	3	1
P6R1C1.txt	6	1	1
P6R2C1.txt	6	2	1
P6R3C1.txt	6	3	1
P7R1C1.txt	7	1	1
P7R2C1.txt	7	2	1
P7R3C1.txt	7	3	1
