Plate	Well	GeneID	Entrez_gene_ID	sub_lib	Gene Accession
Plate 2	M04	CTR9	9646	EPI	NM_014633
Plate 2	M05	AES	166	EPI	NM_198970
Plate 2	M06	SMYD2	56950	EPI	NM_020197
Plate 2	M07	MLL5	55904	EPI	NM_018682
Plate 2	M08	MTF1	4520	EPI	NM_005955
Plate 2	M09	MMP9	4318	EPI	NM_004994
Plate 2	M10	PRDM1	639	EPI	NM_182907
Plate 2	M11	KAT6B	23522	EPI	NM_012330
Plate 2	M12	ELP3	55140	EPI	NM_018091
Plate 2	M13	SP3	6670	EPI	NM_003111
Plate 2	M14	CSK	1445	EPI	NM_004383
Plate 2	M15	PHF17	79960	EPI	NM_024900
Plate 2	M16	NCOA3	8202	EPI	NM_006534
Plate 2	M17	SAP130	79595	EPI	NM_024545
Plate 2	M18	CYP7A1	1581	EPI	NM_000780
Plate 2	M19	LEO1	123169	EPI	NM_138792
Plate 2	M20	RFXANK	8625	EPI	NM_134440
Plate 2	M21	BIRC5	332	EPI	NM_001012270
Plate 2	M22	ABCC1	4363	EPI	NM_019899
Plate 2	M23	siPLK1	pos		
Plate 2	M24	siPLK1	pos		
Plate 2	N01	siPLK1	pos		
Plate 2	N02				
Plate 2	N03	BAZ1A	11177	EPI	NM_013448
Plate 2	N04				
Plate 2	N05	PAX6	5080	EPI	NM_001604
Plate 2	N06				
Plate 2	N07	SETD3	84193	EPI	NM_032233
Plate 2	N08				
Plate 2	N09				
Plate 2	N10				
Plate 2	N11				
Plate 2	N12				
Plate 2	N13				
Plate 2	N14				
Plate 2	N15				
Plate 2	N16				
Plate 2	N17				
Plate 2	N18				
Plate 2	N19				
Plate 2	N20				
Plate 2	N21				
Plate 2	N22				
Plate 2	N23	siPLK1	pos		
Plate 2	N24				
Plate 2	O01	siPLK1	pos		
Plate 2	O02	siPLK1	pos		
Plate 2	O03	RUNX1	861	EPI	NM_001754
Plate 2	O04	TAF7	6879	EPI	NM_005642
Plate 2	O05	SMYD3	64754	EPI	NM_022743
Plate 2	O06	SENP1	29843	EPI	NM_014554
Plate 2	O07	NFKB2	4791	EPI	NM_002502
Plate 2	O08	CDK1	983	EPI	NM_001786
Plate 2	O09	ING2	3622	EPI	NM_001564
Plate 2	O10	TAF1L	138474	EPI	NM_153809
Plate 2	O11	TRRAP	8295	EPI	NM_003496
Plate 2	O12	CHRNE	1145	EPI	NM_000080
Plate 2	O13	PRDX1	5052	EPI	NM_002574
Plate 2	O14	BRMS1L	84312	EPI	NM_032352
Plate 2	O15	JUND	3727	EPI	NM_005354
Plate 2	O16	H2AFZ	3015	EPI	NM_002106
Plate 2	O17	NFYC	4802	EPI	NM_014223
Plate 2	O18	MGMT	4255	EPI	NM_002412
Plate 2	O19	PRKCB	5579	EPI	NM_002738
Plate 2	O20	DNMT3A	1788	EPI	NM_022552
Plate 2	O21	GADD45A	1647	EPI	NM_001924
Plate 2	O22	ZBTB7A	51341	EPI	NM_015898
Plate 2	O23	siPLK1	pos		
Plate 2	O24	siPLK1	pos		
Plate 2	P01	siPLK1	pos		
Plate 2	P02				
Plate 2	P03				
Plate 2	P04				
Plate 2	P05				
Plate 2	P06				
Plate 2	P07				
Plate 2	P08				
Plate 2	P09				
Plate 2	P10				
Plate 2	P11				
Plate 2	P12				
Plate 2	P13				
Plate 2	P14				
Plate 2	P15				
Plate 2	P16				
Plate 2	P17				
Plate 2	P18				
Plate 2	P19				
Plate 2	P20				
Plate 2	P21				
Plate 2	P22				
Plate 2	P23	siPLK1	pos		
Plate 2	P24				
